window_id,channel index,channel name,sample index,value (uv)
Control1129,0,Fp1,5649,3.5666891552423095e-05
Control1129,0,Fp1,5650,3.247816985932007e-05
Control1129,0,Fp1,5651,3.1096734576281735e-05
Control1129,0,Fp1,5652,2.7469913007922362e-05
Control1129,0,Fp1,5653,1.7497362178488157e-05
Control1129,0,Fp1,5654,9.382835441947936e-06
Control1129,0,Fp1,5655,1.611224631051941e-05
Control1129,0,Fp1,5656,2.9625898332318115e-05
Control1129,0,Fp1,5657,3.6105477205285644e-05
Control1129,0,Fp1,5658,3.21843071901062e-05
Control1129,0,Fp1,5659,2.12339933276947e-05
Control1129,0,Fp1,5660,1.7365847577359006e-05
Control1129,0,Fp1,5661,2.1114901818292235e-05
Control1129,0,Fp1,5662,2.3154154485894775e-05
Control1129,0,Fp1,5663,2.206827166288452e-05
Control1129,0,Fp1,5664,2.5034852919110106e-05
Control1129,0,Fp1,5665,3.0392836864434812e-05
Control1129,0,Fp1,5666,3.2234175390625e-05
Control1129,0,Fp1,5667,2.924169294927368e-05
Control1129,0,Fp1,5668,2.6738269348138425e-05
Control1129,0,Fp1,5669,2.858063605392456e-05
Control1129,0,Fp1,5670,3.0471306339105223e-05
Control1129,0,Fp1,5671,2.5917039953125e-05
Control1129,0,Fp1,5672,2.214519886816101e-05
Control1129,0,Fp1,5673,2.1303696453723142e-05
Control1129,0,Fp1,5674,2.3635808942904663e-05
Control1129,0,Fp1,5675,3.0458810231726074e-05
Control1129,0,Fp1,5676,3.2397763234686276e-05
Control1129,0,Fp1,5677,2.7501199469946287e-05
Control1129,0,Fp1,5678,2.387536733818359e-05
Control1129,0,Fp1,5679,2.5913821303955076e-05
Control1129,0,Fp1,5680,3.034393425866699e-05
Control1129,0,Fp1,5681,3.0281242125390623e-05
Control1129,0,Fp1,5682,2.4701774884060667e-05
Control1129,0,Fp1,5683,2.1027908883782957e-05
Control1129,0,Fp1,5684,2.6142896737701413e-05
Control1129,0,Fp1,5685,3.4136888788116455e-05
Control1129,0,Fp1,5686,3.475661584393921e-05
Control1129,0,Fp1,5687,2.985937258659668e-05
Control1129,0,Fp1,5688,2.818571078100586e-05
Control1129,0,Fp1,5689,3.3054564360577394e-05
Control1129,0,Fp1,5690,3.504158550470581e-05
Control1129,0,Fp1,5691,3.4538164932684325e-05
Control1129,0,Fp1,5692,3.530423621766357e-05
Control1129,0,Fp1,5693,3.353138637348633e-05
Control1129,0,Fp1,5694,3.21496053836853e-05
Control1129,0,Fp1,5695,3.252577904495849e-05
Control1129,0,Fp1,5696,3.065606872238159e-05
Control1129,0,Fp1,5697,3.088619617756958e-05
Control1129,0,Fp1,5698,3.341085392253418e-05
Control1129,0,Fp1,5699,3.266377862811889e-05
Control1129,0,Fp1,5700,3.098930918000488e-05
